code,l1,desc
46Exx,46,"Linear function spaces and their duals [See also 30H05, 32A38, 46F05] {For"
46Fxx,46,"Distributions, generalized functions, distribution spaces [See also 46T30]"
46Gxx,46,"Measures, integration, derivative, holomorphy (all involving infinitedimensional spaces) [See also 28-XX, 46Txx]"
46Hxx,46,"Topological algebras, normed rings and algebras, Banach algebras {For group"
46Jxx,46,Commutative Banach algebras and commutative topological algebras [See also
46Kxx,46,Topological (rings and) algebras with an involution [See also 16W10]
46Lxx,46,"Selfadjoint operator algebras (C ∗ -algebras, von Neumann (W ∗ -) algebras, etc.)"
46Mxx,46,Methods of category theory in functional analysis [See also 18-XX]
46Nxx,46,Miscellaneous applications of functional analysis [See also 47Nxx]
46Sxx,46,Other (nonclassical) types of functional analysis [See also 47Sxx]
46Txx,46,"Nonlinear functional analysis [See also 47Hxx, 47Jxx, 58Cxx, 58Dxx]"
47Axx,47,General theory of linear operators
47Bxx,47,Special classes of linear operators
47Cxx,47,Individual linear operators as elements of algebraic systems
47Dxx,47,"Groups and semigroups of linear operators, their generalizations and applications"
47Exx,47,"Ordinary differential operators [See also 34Bxx, 34Lxx]"
47Fxx,47,"Partial differential operators [See also 35Pxx, 58Jxx]"
47Gxx,47,"Integral, integro-differential, and pseudodifferential operators [See also 58Jxx]"
47Hxx,47,"Nonlinear operators and their properties {For global and geometric aspects,"
47Jxx,47,Equations and inequalities involving nonlinear operators [See also 46Txx] {For
47Lxx,47,Linear spaces and algebras of operators [See also 46Lxx]
47Nxx,47,Miscellaneous applications of operator theory [See also 46Nxx]
47Sxx,47,Other (nonclassical) types of operator theory [See also 46Sxx]
49Jxx,49,Existence theories in calculus of variations and optimal control
49Kxx,49,Optimality conditions
49Lxx,49,"Hamilton-Jacobi theories [See also 70H20, 35F21]"
49Mxx,49,"Numerical methods in optimal control [See also 65Kxx, 90-08, 90Cxx]"
49Nxx,49,Miscellaneous topics in calculus of variations and optimal control
49Qxx,49,Manifolds and measure-geometric topics [See also 58Exx]
49Rxx,49,Variational methods for eigenvalues of operators [Should also be assigned at
49Sxx,49,Variational principles of physics [Should also be assigned at least one other
51Axx,51,Linear incidence geometry
51Bxx,51,Nonlinear incidence geometry
51Cxx,51,"Ring geometry (Hjelmslev, Barbilian, etc.)"
51Dxx,51,Geometric closure systems
51Exx,51,Finite geometry and special incidence structures
51Fxx,51,Metric geometry
51Gxx,51,"Ordered geometries (ordered incidence structures, etc.)"
51Hxx,51,Topological geometry
51Jxx,51,Incidence groups
51Kxx,51,Distance geometry
51Lxx,51,Geometric order structures [See also 53C75]
51Mxx,51,Real and complex geometry
51Nxx,51,Analytic and descriptive geometry
51Pxx,51,Classical or axiomatic geometry and physics [Should also be assigned at least
52Axx,52,General convexity
52Bxx,52,Polytopes and polyhedra
52Cxx,52,Discrete geometry
53Axx,53,Classical differential geometry
53Bxx,53,Local differential geometry
53Cxx,53,"Global differential geometry [See also 51H25, 58-XX] {For related bundle theory,"
53Dxx,53,"Symplectic geometry, contact geometry [See also 37Jxx, 70Gxx, 70Hxx]"
53Exx,53,Geometric evolution equations
53Zxx,53,Applications of differential geometry to sciences and engineering
54Axx,54,Generalities in topology
54Bxx,54,Basic constructions in general topology
54Cxx,54,Maps and general types of topological spaces defined by maps
54Dxx,54,Fairly general properties of topological spaces
54Exx,54,Topological spaces with richer structures
54Fxx,54,Special properties of topological spaces
54Gxx,54,Peculiar topological spaces
54Hxx,54,"Connections of general topology with other structures, applications"
54Jxx,54,Nonstandard topology [See also 03H05]
55Mxx,55,Classical topics in algebraic topology {For the topology of Euclidean spaces
55Nxx,55,Homology and cohomology theories in algebraic topology {For homology and
55Pxx,55,"Homotopy theory {For simple homotopy type, see 57Q10}"
55Qxx,55,Homotopy groups
55Rxx,55,"Fiber spaces and bundles in algebraic topology [See also 18F15, 32Lxx, 46M20,"
55Sxx,55,Operations and obstructions in algebraic topology
55Txx,55,"Spectral sequences in algebraic topology [See also 18G40, 55R20]"
55Uxx,55,Applied homological algebra and category theory in algebraic topology [See also
57Kxx,57,Low-dimensional topology in specific dimensions
57Mxx,57,General low-dimensional topology
57Nxx,57,Topological manifolds
57Pxx,57,Generalized manifolds [See also 18F15]
57Qxx,57,PL-topology
57Rxx,57,"Differential topology {For foundational questions of differentiable manifolds,"
57Sxx,57,"Topological transformation groups [See also 20F34, 22-XX, 37-XX, 54H15,"
57Txx,57,Homology and homotopy of topological groups and related structures
57Zxx,57,Relations of manifolds and cell complexes with science and engineering
58Axx,58,General theory of differentiable manifolds [See also 32Cxx]
58Bxx,58,Infinite-dimensional manifolds
58Cxx,58,"Calculus on manifolds; nonlinear operators [See also 46Txx, 47Hxx, 47Jxx]"
58Dxx,58,Spaces and manifolds of mappings (including nonlinear versions of 46Exx) [See
58Exx,58,Variational problems in infinite-dimensional spaces
58Hxx,58,"Pseudogroups, differentiable groupoids and general structures on manifolds"
58Jxx,58,Partial differential equations on manifolds; differential operators [See also
58Kxx,58,"Theory of singularities and catastrophe theory [See also 32Sxx, 37-XX]"
58Zxx,58,Applications of global analysis to the sciences
60Axx,60,Foundations of probability theory
60Bxx,60,Probability theory on algebraic and topological structures
60Cxx,60,Combinatorial probability
60Dxx,60,"Geometric probability and stochastic geometry [See also 52A22, 53C65]"
60Exx,60,"Distribution theory [See also 62Exx, 62Hxx]"
60Fxx,60,"Limit theorems in probability theory [See also 28Dxx, 60B12]"
60Gxx,60,Stochastic processes
60Hxx,60,Stochastic analysis [See also 58J65]
60Jxx,60,Markov processes
60Kxx,60,Special processes
60Lxx,60,Rough analysis
62Axx,62,Foundational topics in statistics
62Bxx,62,Sufficiency and information
62Cxx,62,"Statistical decision theory [See also 90B50, 91B06] {For game theory, see 91A35}"
62Dxx,62,Statistical sampling theory and related topics
62Exx,62,Statistical distribution theory [See also 60Exx]
62Fxx,62,Parametric inference
62Gxx,62,Nonparametric inference
62Hxx,62,Multivariate analysis [See also 60Exx]
62Jxx,62,"Linear inference, regression"
62Kxx,62,Design of statistical experiments [See also 05Bxx]
62Lxx,62,Sequential statistical methods
62Mxx,62,Inference from stochastic processes
62Nxx,62,Survival analysis and censored data
62Pxx,62,"Applications of statistics [See also 90-XX, 91-XX, 92-XX]"
62Qxx,62,Statistical tables
62Rxx,62,Statistics on algebraic and topological structures
65Axx,65,Tables in numerical analysis
65Bxx,65,Acceleration of convergence in numerical analysis
65Cxx,65,"Probabilistic methods, stochastic differential equations"
65Dxx,65,Numerical approximation and computational geometry (primarily algorithms)
65Exx,65,"Numerical methods in complex analysis (potential theory, etc.)"
65Fxx,65,Numerical linear algebra
65Gxx,65,Error analysis and interval analysis
65Hxx,65,Nonlinear algebraic or transcendental equations
65Jxx,65,Numerical analysis in abstract spaces
65Kxx,65,"Numerical methods for mathematical programming, optimization and variational techniques"
65Lxx,65,Numerical methods for ordinary differential equations
65Mxx,65,"Numerical methods for partial differential equations, initial value and timedependent initial-boundary value problems"
65Nxx,65,"Numerical methods for partial differential equations, boundary value problems"
65Pxx,65,Numerical problems in dynamical systems [See also 37Mxx]
65Qxx,65,"Numerical methods for difference and functional equations, recurrence relations"
65Rxx,65,"Numerical methods for integral equations, integral transforms"
65Sxx,65,Graphical methods in numerical analysis
65Txx,65,Numerical methods in Fourier analysis
65Yxx,65,Computer aspects of numerical algorithms
65Zxx,65,Applications to the sciences
68Mxx,68,Computer system organization
68Nxx,68,Theory of software
68Pxx,68,Theory of data
68Qxx,68,Theory of computing
68Rxx,68,Discrete mathematics in relation to computer science
68Txx,68,Artificial intelligence
68Uxx,68,Computing methodologies and applications
68Vxx,68,Computer science support for mathematical research and practice
68Wxx,68,"Algorithms in computer science {For numerical algorithms, see 65-XX; for"
70Axx,70,"Axiomatics, foundations"
70Bxx,70,Kinematics [See also 53A17]
70Cxx,70,Statics
70Exx,70,Dynamics of a rigid body and of multibody systems
70Fxx,70,"Dynamics of a system of particles, including celestial mechanics"
70Gxx,70,"General models, approaches, and methods in mechanics of particles and systems"
70Hxx,70,Hamiltonian and Lagrangian mechanics [See also 37Jxx]
70Jxx,70,Linear vibration theory
70Kxx,70,"Nonlinear dynamics in mechanics [See also 34Cxx, 37-XX]"
70Lxx,70,Random and stochastic aspects of the mechanics of particles and systems
70Mxx,70,Orbital mechanics
70Pxx,70,"Variable mass, rockets"
70Qxx,70,"Control of mechanical systems [See also 60Gxx, 60Jxx]"
70Sxx,70,"Classical field theories [See also 37Kxx, 37Lxx, 78-XX, 81Txx, 83-XX]"
74Axx,74,"Generalities, axiomatics, foundations of continuum mechanics of solids"
74Bxx,74,Elastic materials
74Cxx,74,"Plastic materials, materials of stress-rate and internal-variable type"
74Dxx,74,"Materials of strain-rate type and history type, other materials with memory"
74Exx,74,Material properties given special treatment
74Fxx,74,Coupling of solid mechanics with other effects
74Gxx,74,Equilibrium (steady-state) problems in solid mechanics
74Hxx,74,Dynamical problems in solid mechanics
74Jxx,74,Waves in solid mechanics
74Kxx,74,"Thin bodies, structures"
74Lxx,74,Special subfields of solid mechanics
74Mxx,74,Special kinds of problems in solid mechanics
74Nxx,74,"Phase transformations in solids [See also 74A50, 80A22, 82B26, 82C26]"
74Pxx,74,Optimization problems in solid mechanics [See also 49Qxx]
74Qxx,74,"Homogenization, determination of effective properties in solid mechanics"
74Rxx,74,Fracture and damage
74Sxx,74,"Numerical and other methods in solid mechanics [See also 65-XX, 74G15, 74H15]"
76Axx,76,"Foundations, constitutive equations, rheology, hydrodynamical models of nonfluid phenomena"
76Bxx,76,Incompressible inviscid fluids
76Dxx,76,Incompressible viscous fluids
76Exx,76,Hydrodynamic stability
76Fxx,76,"Turbulence [See also 37-XX, 60Gxx, 60Jxx]"
76Gxx,76,General aerodynamics and subsonic flows
76Hxx,76,Transonic flows
76Jxx,76,Supersonic flows
76Kxx,76,Hypersonic flows
76Lxx,76,Shock waves and blast waves in fluid mechanics [See also 35L67]
76Mxx,76,Basic methods in fluid mechanics [See also 65-XX]
76Nxx,76,Compressible fluids and gas dynamics
76Pxx,76,"Rarefied gas flows, Boltzmann equation in fluid mechanics [See also 82B40,"
76Qxx,76,Hydro- and aero-acoustics
76Rxx,76,Diffusion and convection
76Sxx,76,Flows in porous media; filtration; seepage
76Txx,76,Multiphase and multicomponent flows
76Uxx,76,Rotating fluids
76Vxx,76,Reaction effects in flows [See also 80A32]
76Wxx,76,Magnetohydrodynamics and electrohydrodynamics
76Xxx,76,Ionized gas flow in electromagnetic fields; plasmic flow [See also 82D10]
76Yxx,76,"Quantum hydrodynamics and relativistic hydrodynamics [See also 82D50,"
76Zxx,76,"Biological fluid mechanics [See also 74F10, 74L15, 92Cxx]"
78Axx,78,General topics in optics and electromagnetic theory
78Mxx,78,Basic methods for problems in optics and electromagnetic theory [See also
80Axx,80,Thermodynamics and heat transfer
80Mxx,80,Basic methods in thermodynamics and heat transfer [See also 65-XX]
81Pxx,81,"Foundations, quantum information and its processing, quantum axioms, and"
81Qxx,81,General mathematical topics and methods in quantum theory
81Rxx,81,Groups and algebras in quantum theory
81Sxx,81,General quantum mechanics and problems of quantization
81Txx,81,Quantum field theory; related classical field theories [See also 70Sxx]
81Uxx,81,"Quantum scattering theory [See also 34A55, 34L25, 34L40, 35P25, 47A40]"
81Vxx,81,Applications of quantum theory to specific physical systems
82Bxx,82,Equilibrium statistical mechanics
82Cxx,82,Time-dependent statistical mechanics (dynamic and nonequilibrium)
82Dxx,82,Applications of statistical mechanics to specific types of physical systems
82Mxx,82,Basic methods in statistical mechanics [See also 65-XX]
83Axx,83,Special relativity
83Bxx,83,Observational and experimental questions in relativity and gravitational theory
83Cxx,83,General relativity
83Dxx,83,"Relativistic gravitational theories other than Einstein’s, including asymmetric"
83Exx,83,"Unified, higher-dimensional and super field theories"
83Fxx,83,"Relativistic cosmology {For astrophysical cosmology, see 85A40}"
85Axx,85,"Astronomy and astrophysics {For celestial mechanics, see 70F15}"
86Axx,86,"Geophysics [See also 76U05, 76V05]"
90Bxx,90,Operations research and management science
90Cxx,90,"Mathematical programming {For numerical methods, see also 49Mxx, 65Kxx}"
91Axx,91,Game theory
91Bxx,91,"Mathematical economics {For econometrics, see 62P20}"
91Cxx,91,"Social and behavioral sciences: general topics {For statistics, see 62P25}"
91Dxx,91,Mathematical sociology (including anthropology)
91Exx,91,"Mathematical psychology {For psychometrics, see 62P15}"
91Fxx,91,Other social and behavioral sciences (mathematical treatment)
91Gxx,91,"Actuarial science and mathematical finance {For statistics, see 62P05}"
92Bxx,92,Mathematical biology in general
92Cxx,92,"Physiological, cellular and medical topics"
92Dxx,92,Genetics and population dynamics
92Exx,92,"Chemistry {For biochemistry, see 92C40}"
92Fxx,92,Other natural sciences (mathematical treatment)
93Axx,93,General systems theory
93Bxx,93,"Controllability, observability, and system structure"
93Cxx,93,Model systems in control theory
93Dxx,93,Stability of control systems
93Exx,93,Stochastic systems and control
94Axx,94,"Communication, information"
94Bxx,94,Theory of error-correcting codes and error-detecting codes
94Cxx,94,"Circuits, networks [See also 68Q06]"
94Dxx,94,Miscellaneous topics in information and communication theory
97Axx,97,History and society (aspects of mathematics education)
